iter	Logloss
0	0.5986086364
1	0.527760828
2	0.4700665031
3	0.4296909485
4	0.3847599405
5	0.3572201174
6	0.3315717002
7	0.3140015137
8	0.2951685053
9	0.2792776741
10	0.2700143849
11	0.2616235728
12	0.2529374391
13	0.2461561608
14	0.2389596874
15	0.2339088031
16	0.2296709847
17	0.2259640014
18	0.2220403935
19	0.2183486226
20	0.215738879
21	0.210925438
22	0.2087057342
23	0.2068793872
24	0.2041100087
25	0.2028101561
26	0.2003870832
27	0.1987400547
28	0.1974229993
29	0.1962081552
30	0.1941383023
31	0.1931411639
32	0.1917436438
33	0.1904762941
34	0.1892599905
35	0.1883564433
36	0.18722657
37	0.1865364072
38	0.1857973945
39	0.1853221181
40	0.1847043016
41	0.1838841965
42	0.1827847856
43	0.1821621454
44	0.181745313
45	0.1807641097
46	0.1801136978
47	0.1797445721
48	0.1792863263
49	0.1782876192
50	0.1777842734
51	0.1773086277
52	0.1768310801
53	0.1763364843
54	0.1758463576
55	0.1753520597
56	0.1748001919
57	0.1743581008
58	0.1739220968
59	0.1734268302
60	0.1731085562
61	0.1727419299
62	0.1722564901
63	0.1717087312
64	0.1714738671
65	0.1711095672
66	0.1706353
67	0.1702996458
68	0.1700081145
69	0.1697191699
70	0.1692960938
71	0.1690258204
72	0.1686760767
73	0.1682851251
74	0.1678064271
75	0.1674761778
76	0.1671220202
77	0.1666739647
78	0.1662881707
79	0.1659492004
80	0.1654324411
81	0.1651885522
82	0.1646265017
83	0.1643906147
84	0.1641182272
85	0.1634126242
86	0.1630245383
87	0.1627169936
88	0.1624009218
89	0.1620183088
90	0.1617135442
91	0.1612458771
92	0.1609317005
93	0.1605678826
94	0.1601902627
95	0.1600099229
96	0.159687248
97	0.1593094095
98	0.1589557465
99	0.1585420891
