iter	Passed	Remaining
0	2	288
1	5	273
2	8	267
3	11	269
4	13	255
5	16	251
6	18	242
7	21	244
8	24	250
9	27	248
10	30	246
11	32	239
12	34	234
13	37	227
14	40	227
15	42	222
16	44	218
17	46	213
18	49	209
19	51	206
20	53	201
21	56	201
22	59	198
23	61	195
24	63	191
25	66	187
26	68	185
27	71	184
28	74	182
29	77	180
30	80	178
31	83	176
32	85	174
33	88	172
34	91	169
35	93	165
36	95	162
37	98	160
38	101	158
39	104	156
40	107	154
41	110	152
42	113	150
43	116	148
44	119	146
45	123	144
46	125	141
47	128	138
48	130	136
49	133	133
50	137	132
51	140	129
52	143	127
53	146	124
54	149	122
55	164	129
56	169	127
57	173	125
58	176	122
59	179	119
60	181	116
61	185	113
62	188	110
63	190	107
64	194	104
65	197	101
66	201	99
67	204	96
68	207	93
69	210	90
70	213	87
71	217	84
72	220	81
73	222	78
74	225	75
75	228	72
76	230	68
77	235	66
78	238	63
79	241	60
80	243	57
81	246	54
82	249	51
83	254	48
84	256	45
85	259	42
86	262	39
87	269	36
88	272	33
89	276	30
90	279	27
91	283	24
92	286	21
93	289	18
94	292	15
95	295	12
96	299	9
97	302	6
98	305	3
99	307	0
